,Age,Count,Gender
0,100+,381,Female
1,100+,-78,Male
2,99,3978,Female
3,99,-1106,Male
4,94,17574,Female
5,94,-6505,Male
6,89,56444,Female
7,89,-26400,Male
8,84,140409,Female
9,84,-77079,Male
10,79,248611,Female
11,79,-160649,Male
12,74,371091,Female
13,74,-268115,Male
14,69,497212,Female
15,69,-386629,Male
16,64,592117,Female
17,64,-479931,Male
18,59,692576,Female
19,59,-594450,Male
20,54,842488,Female
21,54,-744366,Male
22,49,901247,Female
23,49,-825575,Male
24,44,983717,Female
25,44,-857679,Male
26,39,982535,Female
27,39,-860402,Male
28,34,1172674,Female
29,34,-1113973,Male
30,29,1265103,Female
31,29,-1239704,Male
32,24,1327033,Female
33,24,-1285634,Male
34,19,1129194,Female
35,19,-1166501,Male
36,14,1197330,Female
37,14,-1240009,Male
38,9,1292194,Female
39,9,-1352738,Male
40,4,1316590,Female
41,4,-1377345,Male
