,Age,Count,Gender
0,100+,10565,Female
1,100+,-2260,Male
2,99,85356,Female
3,99,-27889,Male
4,94,306048,Female
5,94,-139964,Male
6,89,631374,Female
7,89,-366830,Male
8,84,768253,Female
9,84,-527236,Male
10,79,984160,Female
11,79,-786714,Male
12,74,1193025,Female
13,74,-1026751,Male
14,69,1287348,Female
15,69,-1173872,Male
16,64,1527279,Female
17,64,-1440782,Male
18,59,1725346,Female
19,59,-1673261,Male
20,54,1845138,Female
21,54,-1838378,Male
22,49,1935938,Female
23,49,-1969172,Male
24,44,1948675,Female
25,44,-1971191,Male
26,39,1638320,Female
27,39,-1622498,Male
28,34,1381840,Female
29,34,-1380134,Male
30,29,1252719,Female
31,29,-1285676,Male
32,24,1156350,Female
33,24,-1216035,Male
34,19,1169074,Female
35,19,-1250027,Male
36,14,1227225,Female
37,14,-1309559,Male
38,9,1120358,Female
39,9,-1192058,Male
40,4,956674,Female
41,4,-1012445,Male
