,Age,Count,Gender
0,100+,1648,Female
1,100+,-461,Male
2,99,13215,Female
3,99,-4114,Male
4,94,68832,Female
5,94,-26762,Male
6,89,229575,Female
7,89,-106605,Male
8,84,450149,Female
9,84,-251619,Male
10,79,639858,Female
11,79,-410170,Male
12,74,759834,Female
13,74,-546347,Male
14,69,975511,Female
15,69,-828274,Male
16,64,1091885,Female
17,64,-988582,Male
18,59,1160368,Female
19,59,-1093261,Male
20,54,1016280,Female
21,54,-970577,Male
22,49,1088157,Female
23,49,-1075955,Male
24,44,1211927,Female
25,44,-1204183,Male
26,39,1237661,Female
27,39,-1243185,Male
28,34,1402612,Female
29,34,-1414252,Male
30,29,1525415,Female
31,29,-1560343,Male
32,24,1585255,Female
33,24,-1648994,Male
34,19,1623056,Female
35,19,-1702124,Male
36,14,1539667,Female
37,14,-1616193,Male
38,9,1225559,Female
39,9,-1292349,Male
40,4,1000285,Female
41,4,-1058777,Male
