,Age,Count,Gender
0,100+,4170,Female
1,100+,-1014,Male
2,99,36854,Female
3,99,-11066,Male
4,94,158465,Female
5,94,-58410,Male
6,89,363599,Female
7,89,-165202,Male
8,84,679728,Female
9,84,-412253,Male
10,79,912081,Female
11,79,-662585,Male
12,74,1071472,Female
13,74,-881531,Male
14,69,991013,Female
15,69,-870254,Male
16,64,1103024,Female
17,64,-1031483,Male
18,59,1252054,Female
19,59,-1200477,Male
20,54,1306794,Female
21,54,-1287435,Male
22,49,1522684,Female
23,49,-1521918,Male
24,44,1686518,Female
25,44,-1718046,Male
26,39,1770467,Female
27,39,-1852096,Male
28,34,1839188,Female
29,34,-1967264,Male
30,29,1818207,Female
31,29,-1940585,Male
32,24,1436273,Female
33,24,-1510164,Male
34,19,1127823,Female
35,19,-1192327,Male
36,14,1016743,Female
37,14,-1075967,Male
38,9,977767,Female
39,9,-1031810,Male
40,4,1078140,Female
41,4,-1140409,Male
