,Age,Count,Gender
0,100+,8499,Female
1,100+,-1806,Male
2,99,59887,Female
3,99,-17212,Male
4,94,255170,Female
5,94,-105881,Male
6,89,562441,Female
7,89,-309157,Male
8,84,850704,Female
9,84,-575481,Male
10,79,886294,Female
11,79,-682299,Male
12,74,1053477,Female
13,74,-908890,Male
14,69,1233986,Female
15,69,-1118833,Male
16,64,1303975,Female
17,64,-1234108,Male
18,59,1535427,Female
19,59,-1490703,Male
20,54,1722961,Female
21,54,-1711955,Male
22,49,1833917,Female
23,49,-1867809,Male
24,44,1916599,Female
25,44,-1990404,Male
26,39,1918044,Female
27,39,-1981356,Male
28,34,1588066,Female
29,34,-1597139,Male
30,29,1299157,Female
31,29,-1303143,Male
32,24,1127372,Female
33,24,-1172569,Male
34,19,1052723,Female
35,19,-1116663,Male
36,14,1130154,Female
37,14,-1196519,Male
38,9,1200522,Female
39,9,-1280257,Male
40,4,1080609,Female
41,4,-1149164,Male
