,Age,Count,Gender
0,100+,45259,Female
1,100+,-15516,Male
2,99,284908,Female
3,99,-126030,Male
4,94,799255,Female
5,94,-458231,Male
6,89,1313109,Female
7,89,-926256,Male
8,84,1650700,Female
9,84,-1346486,Male
10,79,1791722,Female
11,79,-1572945,Male
12,74,1570865,Female
13,74,-1420206,Male
14,69,1372032,Female
15,69,-1295657,Male
16,64,1288004,Female
17,64,-1276137,Male
18,59,1228974,Female
19,59,-1260381,Male
20,54,1255349,Female
21,54,-1318992,Male
22,49,1308562,Female
23,49,-1378839,Male
24,44,1201020,Female
25,44,-1264424,Male
26,39,1039506,Female
27,39,-1089065,Male
28,34,921006,Female
29,34,-968169,Male
30,29,876484,Female
31,29,-926592,Male
32,24,856138,Female
33,24,-908923,Male
34,19,843732,Female
35,19,-899127,Male
36,14,822946,Female
37,14,-878472,Male
38,9,772935,Female
39,9,-825470,Male
40,4,705681,Female
41,4,-754089,Male
