,Age,Count,Gender
0,100+,768,Female
1,100+,-199,Male
2,99,7342,Female
3,99,-2499,Male
4,94,40707,Female
5,94,-15794,Male
6,89,130581,Female
7,89,-59541,Male
8,84,290744,Female
9,84,-158428,Male
10,79,509664,Female
11,79,-329059,Male
12,74,690689,Female
13,74,-503761,Male
14,69,813530,Female
15,69,-631642,Male
16,64,860221,Female
17,64,-705428,Male
18,59,1039814,Female
19,59,-968685,Male
20,54,1140269,Female
21,54,-1092307,Male
22,49,1200881,Female
23,49,-1173282,Male
24,44,1044287,Female
25,44,-1020257,Male
26,39,1105614,Female
27,39,-1112089,Male
28,34,1229681,Female
29,34,-1237248,Male
30,29,1250902,Female
31,29,-1269553,Male
32,24,1433645,Female
33,24,-1459928,Male
34,19,1585286,Female
35,19,-1643660,Male
36,14,1608564,Female
37,14,-1694695,Male
38,9,1601421,Female
39,9,-1699637,Male
40,4,1516847,Female
41,4,-1612505,Male
