,Age,Count,Gender
0,100+,6053,Female
1,100+,-1386,Male
2,99,49124,Female
3,99,-14024,Male
4,94,183005,Female
5,94,-67265,Male
6,89,477588,Female
7,89,-243405,Male
8,84,771985,Female
9,84,-495654,Male
10,79,991075,Female
11,79,-749441,Male
12,74,956151,Female
13,74,-797614,Male
14,69,1095685,Female
15,69,-993589,Male
16,64,1260285,Female
17,64,-1182231,Male
18,59,1325364,Female
19,59,-1286706,Male
20,54,1557842,Female
21,54,-1544536,Male
22,49,1743157,Female
23,49,-1767492,Male
24,44,1855116,Female
25,44,-1934297,Male
26,39,1945695,Female
27,39,-2077885,Male
28,34,1962016,Female
29,34,-2091931,Male
30,29,1624748,Female
31,29,-1689429,Male
32,24,1282733,Female
33,24,-1328461,Male
34,19,1088379,Female
35,19,-1157805,Male
36,14,1044329,Female
37,14,-1104525,Male
38,9,1131035,Female
39,9,-1196158,Male
40,4,1209232,Female
41,4,-1288329,Male
