,Age,Count,Gender
0,100+,113547,Female
1,100+,-40105,Male
2,99,439053,Female
3,99,-214856,Male
4,94,824219,Female
5,94,-548576,Male
6,89,1088722,Female
7,89,-892436,Male
8,84,1233715,Female
9,84,-1125485,Male
10,79,1168754,Female
11,79,-1125718,Male
12,74,1031458,Female
13,74,-1019063,Male
14,69,932950,Female
15,69,-943809,Male
16,64,909005,Female
17,64,-936783,Male
18,59,911485,Female
19,59,-950621,Male
20,54,917340,Female
21,54,-963574,Male
22,49,902700,Female
23,49,-951545,Male
24,44,851455,Female
25,44,-898675,Male
26,39,781474,Female
27,39,-825157,Male
28,34,726909,Female
29,34,-767865,Male
30,29,693887,Female
31,29,-734329,Male
32,24,669328,Female
33,24,-710721,Male
34,19,646990,Female
35,19,-689516,Male
36,14,624026,Female
37,14,-666286,Male
38,9,592487,Female
39,9,-632823,Male
40,4,559808,Female
41,4,-598212,Male
