,Age,Count,Gender
0,100+,22536,Female
1,100+,-6962,Male
2,99,121532,Female
3,99,-48255,Male
4,94,408084,Female
5,94,-215344,Male
6,89,795713,Female
7,89,-510007,Male
8,84,1067219,Female
9,84,-796241,Male
10,79,1384410,Female
11,79,-1141888,Male
12,74,1625068,Female
13,74,-1440054,Male
14,69,1774304,Female
15,69,-1667192,Male
16,64,1890725,Female
17,64,-1855559,Male
18,59,1929395,Female
19,59,-1912695,Male
20,54,1647003,Female
21,54,-1615108,Male
22,49,1414196,Female
23,49,-1406467,Male
24,44,1308733,Female
25,44,-1337420,Male
26,39,1231191,Female
27,39,-1284187,Male
28,34,1241082,Female
29,34,-1316266,Male
30,29,1276948,Female
31,29,-1354016,Male
32,24,1151253,Female
33,24,-1219939,Male
34,19,977999,Female
35,19,-1032925,Male
36,14,862319,Female
37,14,-914620,Male
38,9,830943,Female
39,9,-885288,Male
40,4,826460,Female
41,4,-882052,Male
