,Age,Count,Gender
0,100+,18313,Female
1,100+,-5420,Male
2,99,125747,Female
3,99,-48217,Male
4,94,335305,Female
5,94,-166435,Male
6,89,677854,Female
7,89,-427518,Male
8,84,1003606,Female
9,84,-732890,Male
10,79,1180392,Female
11,79,-963437,Male
12,74,1451252,Female
13,74,-1269510,Male
14,69,1669045,Female
15,69,-1540503,Male
16,64,1806379,Female
17,64,-1744825,Male
18,59,1914939,Female
19,59,-1912965,Male
20,54,1945232,Female
21,54,-1949043,Male
22,49,1653555,Female
23,49,-1630432,Male
24,44,1414216,Female
25,44,-1409684,Male
26,39,1304068,Female
27,39,-1334322,Male
28,34,1221680,Female
29,34,-1275887,Male
30,29,1226189,Female
31,29,-1302881,Male
32,24,1257851,Female
33,24,-1336938,Male
34,19,1134512,Female
35,19,-1205244,Male
36,14,971077,Female
37,14,-1026915,Male
38,9,860280,Female
39,9,-912711,Male
40,4,827430,Female
41,4,-881864,Male
