,Age,Count,Gender
0,100+,498,Female
1,100+,-100,Male
2,99,5303,Female
3,99,-1474,Male
4,94,27450,Female
5,94,-10448,Male
6,89,90644,Female
7,89,-43509,Male
8,84,218458,Female
9,84,-121430,Male
10,79,354484,Female
11,79,-229286,Male
12,74,517333,Female
13,74,-373723,Male
14,69,711232,Female
15,69,-558729,Male
16,64,815650,Female
17,64,-691569,Male
18,59,889979,Female
19,59,-758278,Male
20,54,906882,Female
21,54,-791274,Male
22,49,1078684,Female
23,49,-1036095,Male
24,44,1162600,Female
25,44,-1126339,Male
26,39,1210580,Female
27,39,-1182572,Male
28,34,1042373,Female
29,34,-1012488,Male
30,29,1111263,Female
31,29,-1096256,Male
32,24,1246218,Female
33,24,-1290183,Male
34,19,1315466,Female
35,19,-1344084,Male
36,14,1462664,Female
37,14,-1521608,Male
38,9,1565987,Female
39,9,-1641413,Male
40,4,1573951,Female
41,4,-1654050,Male
