,Age,Count,Gender
0,100+,402,Female
1,100+,-90,Male
2,99,4446,Female
3,99,-1261,Male
4,94,22853,Female
5,94,-8255,Male
6,89,79199,Female
7,89,-36944,Male
8,84,181202,Female
9,84,-102705,Male
10,79,318339,Female
11,79,-209185,Male
12,74,462219,Female
13,74,-328883,Male
14,69,600497,Female
15,69,-466004,Male
16,64,760669,Female
17,64,-635003,Male
18,59,843875,Female
19,59,-746350,Male
20,54,917711,Female
21,54,-794870,Male
22,49,928078,Female
23,49,-816534,Male
24,44,1097907,Female
25,44,-1054480,Male
26,39,1175987,Female
27,39,-1138609,Male
28,34,1236266,Female
29,34,-1200958,Male
30,29,1072364,Female
31,29,-1083730,Male
32,24,1160461,Female
33,24,-1165643,Male
34,19,1282874,Female
35,19,-1336367,Male
36,14,1316024,Female
37,14,-1359519,Male
38,9,1453818,Female
39,9,-1512675,Male
40,4,1562522,Female
41,4,-1636224,Male
