,Age,Count,Gender
0,100+,90008,Female
1,100+,-32212,Male
2,99,460956,Female
3,99,-218309,Male
4,94,1051652,Female
5,94,-639654,Male
6,89,1282428,Female
7,89,-927469,Male
8,84,1265148,Female
9,84,-1045313,Male
10,79,1236542,Female
11,79,-1125044,Male
12,74,1196793,Female
13,74,-1157775,Male
14,69,1232646,Female
15,69,-1244967,Male
16,64,1294429,Female
17,64,-1330402,Male
18,59,1198420,Female
19,59,-1244392,Male
20,54,1047852,Female
21,54,-1090271,Male
22,49,940344,Female
23,49,-984708,Male
24,44,908398,Female
25,44,-956518,Male
26,39,901422,Female
27,39,-951461,Male
28,34,895758,Female
29,34,-947220,Male
30,29,866651,Female
31,29,-918255,Male
32,24,799254,Female
33,24,-849190,Male
34,19,718588,Female
35,19,-766014,Male
36,14,667367,Female
37,14,-712492,Male
38,9,647743,Female
39,9,-691841,Male
40,4,639148,Female
41,4,-683020,Male
