,Age,Count,Gender
0,100+,1071,Female
1,100+,-294,Male
2,99,10626,Female
3,99,-3459,Male
4,94,51965,Female
5,94,-19552,Male
6,89,166280,Female
7,89,-76807,Male
8,84,381505,Female
9,84,-209416,Male
10,79,583325,Female
11,79,-380482,Male
12,74,743392,Female
13,74,-532311,Male
14,69,820229,Female
15,69,-637446,Male
16,64,1013749,Female
17,64,-910155,Male
18,59,1120477,Female
19,59,-1050250,Male
20,54,1183796,Female
21,54,-1141237,Male
22,49,1033114,Female
23,49,-1001360,Male
24,44,1098197,Female
25,44,-1097831,Male
26,39,1221395,Female
27,39,-1221129,Male
28,34,1242199,Female
29,34,-1256041,Male
30,29,1417843,Female
31,29,-1436703,Male
32,24,1558296,Female
33,24,-1605797,Male
34,19,1599954,Female
35,19,-1678126,Male
36,14,1611697,Female
37,14,-1702328,Male
38,9,1526535,Female
39,9,-1612089,Male
40,4,1214146,Female
41,4,-1299306,Male
