,Age,Count,Gender
0,100+,30072,Female
1,100+,-10069,Male
2,99,192249,Female
3,99,-81881,Male
4,94,545298,Female
5,94,-299628,Male
6,89,1039242,Female
7,89,-695438,Male
8,84,1435696,Female
9,84,-1109639,Male
10,79,1668765,Female
11,79,-1432640,Male
12,74,1821357,Female
13,74,-1680233,Male
14,69,1879496,Female
15,69,-1787134,Male
16,64,1617917,Female
17,64,-1545310,Male
18,59,1400746,Female
19,59,-1372723,Male
20,54,1306065,Female
21,54,-1325146,Male
22,49,1237444,Female
23,49,-1286277,Male
24,44,1255891,Female
25,44,-1328453,Male
26,39,1301596,Female
27,39,-1376031,Male
28,34,1185556,Female
29,34,-1251109,Male
30,29,1014197,Female
31,29,-1065557,Male
32,24,886245,Female
33,24,-935867,Male
34,19,840028,Female
35,19,-893385,Male
36,14,832085,Female
37,14,-887466,Male
38,9,834577,Female
39,9,-890946,Male
40,4,817244,Female
41,4,-872971,Male
