,Age,Count,Gender
0,100+,37821,Female
1,100+,-12801,Male
2,99,221760,Female
3,99,-96377,Male
4,94,676209,Female
5,94,-378906,Male
6,89,1198862,Female
7,89,-820876,Male
8,84,1550232,Female
9,84,-1231093,Male
10,79,1762547,Female
11,79,-1548528,Male
12,74,1844420,Female
13,74,-1695527,Male
14,69,1597131,Female
15,69,-1490362,Male
16,64,1387720,Female
17,64,-1339303,Male
18,59,1298772,Female
19,59,-1305699,Male
20,54,1234973,Female
21,54,-1277648,Male
22,49,1257398,Female
23,49,-1327203,Male
24,44,1306888,Female
25,44,-1379907,Male
26,39,1195443,Female
27,39,-1260028,Male
28,34,1029428,Female
29,34,-1079720,Male
30,29,905674,Female
31,29,-953758,Male
32,24,857009,Female
33,24,-908602,Male
34,19,839128,Female
35,19,-893653,Male
36,14,836672,Female
37,14,-892915,Male
38,9,820838,Female
39,9,-876486,Male
40,4,769315,Female
41,4,-821920,Male
