,Age,Count,Gender
0,100+,129987,Female
1,100+,-47446,Male
2,99,505828,Female
3,99,-259357,Male
4,94,954321,Female
5,94,-659495,Male
6,89,1084883,Female
7,89,-907819,Male
8,84,1008305,Female
9,84,-928928,Male
10,79,924649,Female
11,79,-899318,Male
12,74,903992,Female
13,74,-906160,Male
14,69,907862,Female
15,69,-927485,Male
16,64,915688,Female
17,64,-948085,Male
18,59,904280,Female
19,59,-945236,Male
20,54,857036,Female
21,54,-900826,Male
22,49,792054,Female
23,49,-834661,Male
24,44,744233,Female
25,44,-784814,Male
26,39,720145,Female
27,39,-759920,Male
28,34,704656,Female
29,34,-744366,Male
30,29,683876,Female
31,29,-723710,Male
32,24,648403,Female
33,24,-688373,Male
34,19,601854,Female
35,19,-641330,Male
36,14,565704,Female
37,14,-603987,Male
38,9,542143,Female
39,9,-579081,Male
40,4,527167,Female
41,4,-563280,Male
