,Age,Count,Gender
0,100+,107424,Female
1,100+,-39002,Male
2,99,500838,Female
3,99,-235714,Male
4,94,936314,Female
5,94,-564500,Male
6,89,1132046,Female
7,89,-839597,Male
8,84,1189187,Female
9,84,-1017991,Male
10,79,1178379,Female
11,79,-1101195,Male
12,74,1221696,Female
13,74,-1205092,Male
14,69,1286134,Female
15,69,-1299795,Male
16,64,1192550,Female
17,64,-1223674,Male
18,59,1045329,Female
19,59,-1079758,Male
20,54,940805,Female
21,54,-981529,Male
22,49,911607,Female
23,49,-958329,Male
24,44,907736,Female
25,44,-957205,Male
26,39,906159,Female
27,39,-957179,Male
28,34,882143,Female
29,34,-933001,Male
30,29,818851,Female
31,29,-867455,Male
32,24,735710,Female
33,24,-781526,Male
34,19,674510,Female
35,19,-718834,Male
36,14,649900,Female
37,14,-693897,Male
38,9,642829,Female
39,9,-686653,Male
40,4,633962,Female
41,4,-677414,Male
