Age,M,F
0-4,1838791,1750113
5-9,1835457,1749107
10-14,1947604,1858326
15-19,1985877,1909734
20-24,1885696,1859195
25-29,2067031,2069841
30-34,2082017,2101525
35-39,2121255,2162983
40-44,2073114,2129552
45-49,2074849,2116217
50-54,2037799,2049695
55-59,1383451,1406247
60-64,1293201,1399292
65-69,1247267,1468615
70-74,1067660,1397526
75-79,840491,1265767
80-84,340972,612584
85-89,240120,569737
90-94,79469,261938
95-99,13309,63799
100+,968,7250
