Age,M,F
0-4,1439717,1378104
5-9,1535823,1469136
10-14,1637358,1557901
15-19,1652382,1562381
20-24,1470279,1463310
25-29,1358892,1476641
30-34,1467387,1667097
35-39,1607827,1835602
40-44,1666791,1907482
45-49,1673870,1912673
50-54,1656132,1900982
55-59,1643663,1901725
60-64,1710965,1984444
65-69,1770183,2071605
70-74,1695305,2043053
75-79,1591864,1969303
80-84,1463043,1860712
85-89,1188970,1634577
90-94,775875,1261948
95-99,300865,634010
100+,56333,165567
