Age,M,F
0-4,1507750,1443115
5-9,1610342,1540172
10-14,1755244,1670252
15-19,1818604,1720663
20-24,1640452,1625779
25-29,1489234,1602317
30-34,1527963,1727826
35-39,1611831,1846364
40-44,1752513,1993821
45-49,1873533,2111296
50-54,1850899,2101001
55-59,1821423,2069403
60-64,1817857,2045364
65-69,1761799,1988153
70-74,1730931,2012431
75-79,1614211,1930456
80-84,1374877,1707567
85-89,1137942,1558769
90-94,634590,1050808
95-99,214957,471835
100+,33305,105310
