Age,M,F
0-4,2017139,1942991
5-9,1379641,1336332
10-14,1421578,1401383
15-19,1593016,1543135
20-24,1640403,1581227
25-29,1646921,1633946
30-34,986880,988284
35-39,1442350,1456129
40-44,1537904,1545653
45-49,1513921,1527383
50-54,1257076,1425060
55-59,935238,1292457
60-64,848466,1180573
65-69,714721,1038021
70-74,579647,837451
75-79,366100,565538
80-84,166649,295211
85-89,52497,113144
90-94,9182,25206
95-99,848,2827
100+,48,166
