Age,M,F
0-4,2089927,2007787
5-9,2059154,1984809
10-14,2072140,2000680
15-19,2085531,2010611
20-24,1478035,1390685
25-29,1536305,1449793
30-34,1677843,1599234
35-39,1692417,1639788
40-44,1661604,1665525
45-49,974441,997074
50-54,1361243,1436576
55-59,1352567,1465333
60-64,1219760,1395003
65-69,901690,1223402
70-74,574153,993399
75-79,396599,741521
80-84,213804,456883
85-89,83149,199008
90-94,18354,52970
95-99,2007,7357
100+,104,528
