Age,M,F
0-4,1678974,1606119
5-9,1742257,1666504
10-14,1818262,1732199
15-19,1826383,1733456
20-24,1731843,1715047
25-29,1698187,1806072
30-34,1737019,1936792
35-39,1812724,2028543
40-44,1892757,2074603
45-49,1907812,2052257
50-54,1957088,2110247
55-59,1945491,2090657
60-64,1849905,1973546
65-69,1925114,2082598
70-74,1757213,1991229
75-79,1575701,1898182
80-84,1262367,1669262
85-89,888616,1331455
90-94,454239,819141
95-99,92141,222799
100+,12051,43684
