Age,M,F
0-4,2110489,2011965
5-9,2124820,2027909
10-14,2160706,2067491
15-19,2108072,2049600
20-24,2119326,2066699
25-29,2184132,2067653
30-34,1552014,1447777
35-39,1569684,1493973
40-44,1678230,1627594
45-49,1645015,1636973
50-54,1566282,1643614
55-59,890595,966725
60-64,1170440,1357710
65-69,1057050,1335421
70-74,834483,1184822
75-79,505414,897054
80-84,233511,562079
85-89,96760,270391
90-94,25000,83648
95-99,3532,13982
100+,245,1143
