Age,M,F
0-4,1472374,1409204
5-9,1554530,1486893
10-14,1644047,1564364
15-19,1662188,1571922
20-24,1509279,1500404
25-29,1420548,1535564
30-34,1521925,1719313
35-39,1621473,1849219
40-44,1665823,1907546
45-49,1665294,1906155
50-54,1652981,1902247
55-59,1733818,1987994
60-64,1815505,2092259
65-69,1754492,2064325
70-74,1672419,2009985
75-79,1602051,1944330
80-84,1439713,1814261
85-89,1190481,1650018
90-94,734117,1198708
95-99,271882,564804
100+,52196,153574
