Age,M,F
0-4,1933822,1853323
5-9,2001513,1913499
10-14,1998883,1903998
15-19,1947684,1848690
20-24,1829794,1795548
25-29,1863124,1912715
30-34,1944029,2025105
35-39,1954751,2001626
40-44,2166639,2195591
45-49,2112023,2159904
50-54,2077344,2164439
55-59,1963328,2097676
60-64,1893663,2060152
65-69,1775646,1961114
70-74,1121223,1305013
75-79,939819,1225977
80-84,731022,1134708
85-89,420144,828708
90-94,164016,447272
95-99,23281,91142
100+,2884,18926
