Age,M,F
0-4,1491112,1426990
5-9,1561237,1493372
10-14,1653898,1573932
15-19,1701335,1609078
20-24,1571156,1559412
25-29,1475342,1587897
30-34,1535833,1733082
35-39,1620851,1849526
40-44,1657776,1901446
45-49,1663048,1908135
50-54,1746172,1990252
55-59,1843478,2098595
60-64,1803186,2087389
65-69,1736240,2034391
70-74,1690631,1989938
75-79,1589530,1906310
80-84,1459846,1850044
85-89,1154885,1601342
90-94,679705,1095406
95-99,265108,554363
100+,45702,136494
