Age,M,F
0-4,1899849,1815107
5-9,1960583,1871091
10-14,1928567,1839960
15-19,2185266,2090894
20-24,2117663,2079756
25-29,2111255,2121369
30-34,2102705,2120167
35-39,2139027,2130026
40-44,2139281,2086099
45-49,1474389,1435117
50-54,1435279,1450481
55-59,1469993,1554924
60-64,1364607,1537275
65-69,1208621,1490852
70-74,613026,828208
75-79,654693,1039733
80-84,412651,812231
85-89,180164,460804
90-94,45398,163098
95-99,5968,32859
100+,498,3353
