Age,M,F
0-4,1957096,1873421
5-9,1952364,1864171
10-14,1938488,1843692
15-19,1936142,1850124
20-24,1936330,1911211
25-29,1908744,1953942
30-34,1914402,1948598
35-39,2157403,2176143
40-44,2126801,2164843
45-49,2116369,2186126
50-54,2019333,2119711
55-59,1979206,2095315
60-64,1895071,2015005
65-69,1229118,1357388
70-74,1083325,1315713
75-79,940429,1306126
80-84,659227,1098957
85-89,364875,780600
90-94,86005,244308
95-99,22570,98779
100+,2192,14894
