Age,M,F
0-4,2005850,1932096
5-9,2025781,1952732
10-14,1397587,1349870
15-19,1441551,1396842
20-24,1609457,1541963
25-29,1644772,1590929
30-34,1643005,1634501
35-39,986594,988945
40-44,1427122,1451494
45-49,1493189,1519825
50-54,1441575,1490159
55-59,1166804,1370315
60-64,841137,1216485
65-69,721226,1069472
70-74,556022,883619
75-79,388075,634145
80-84,192860,348836
85-89,59538,130837
90-94,11179,31988
95-99,1115,4067
100+,49,232
