Age,M,F
0-4,1806013,1721678
5-9,1915851,1829704
10-14,1971758,1881356
15-19,1934891,1859855
20-24,2118367,2077288
25-29,2064032,2069496
30-34,2115130,2144849
35-39,2088613,2127762
40-44,2109478,2124495
45-49,2091053,2067814
50-54,1431325,1420101
55-59,1373928,1427125
60-64,1371085,1518190
65-69,1228501,1477252
70-74,1043779,1401243
75-79,487806,742056
80-84,442922,838432
85-89,217136,537139
90-94,64209,216419
95-99,9295,47270
100+,630,5016
